well,BORON,CHLORIDE,NITRATE (AS N),NITRATE (AS NO3),SULFATE,TOTAL DISSOLVED SOLIDS
03N23W05A01S,7.0,8.0,8.0,8.0,8.0,8.0
03N23W05B01S,2.0,3.0,6.0,6.0,3.0,8.0
03N23W05H01S,22.0,21.0,22.0,22.0,21.0,10.0
03N23W05K01S,6.0,8.0,9.0,9.0,8.0,9.0
03N23W05K02S,,1.0,1.0,1.0,1.0,1.0
03N23W05P02S,103.0,155.0,154.0,154.0,155.0,164.0
03N23W08B01S,120.0,186.0,186.0,186.0,185.0,185.0
03N23W08B02S,166.0,148.0,88.0,88.0,154.0,86.0
03N23W08B03S,1.0,1.0,1.0,1.0,1.0,1.0
03N23W08B05S,43.0,46.0,54.0,54.0,55.0,57.0
03N23W08B11S,160.0,162.0,82.0,82.0,162.0,82.0
03N23W08C02S,382.0,368.0,212.0,212.0,381.0,210.0
03N23W08C03S,1.0,1.0,1.0,1.0,1.0,1.0
03N23W_Ventura_NYE_01,54.0,62.0,63.0,63.0,62.0,62.0
03N23W_Ventura_NYE_01A,32.0,29.0,29.0,29.0,29.0,29.0
03N23W_Ventura_NYE_05,1.0,1.0,1.0,1.0,1.0,1.0
04N23W03D01S,1.0,1.0,1.0,1.0,1.0,1.0
04N23W03M01S,3.0,3.0,7.0,7.0,3.0,7.0
04N23W04H01S,6.0,6.0,7.0,7.0,6.0,7.0
04N23W04J01S,6.0,6.0,45.0,45.0,6.0,3.0
04N23W09B01S,3.0,3.0,4.0,4.0,3.0,5.0
04N23W09B03S,7.0,11.0,31.0,31.0,11.0,11.0
04N23W09B04S,12.0,18.0,39.0,39.0,18.0,9.0
04N23W09B05S,11.0,23.0,41.0,41.0,22.0,25.0
04N23W09G01S,,1.0,2.0,2.0,,2.0
04N23W09G03S,7.0,7.0,9.0,9.0,7.0,9.0
04N23W10J01S,10.0,13.0,29.0,29.0,13.0,16.0
04N23W11D01S,1.0,2.0,2.0,2.0,2.0,2.0
04N23W15A01S,,1.0,1.0,1.0,1.0,1.0
04N23W15A02S,7.0,8.0,13.0,13.0,7.0,19.0
04N23W15B01S,9.0,17.0,25.0,25.0,17.0,9.0
04N23W15B0XS,1.0,1.0,1.0,1.0,1.0,1.0
04N23W15D01S,,,3.0,3.0,,2.0
04N23W16A01S,20.0,23.0,161.0,161.0,23.0,10.0
04N23W16B05S,2.0,2.0,1.0,1.0,2.0,1.0
04N23W16B06S,1.0,1.0,2.0,2.0,1.0,1.0
04N23W16B07S,15.0,17.0,956.0,956.0,17.0,8.0
04N23W16C01S,1.0,1.0,1.0,1.0,1.0,1.0
04N23W16C06S,1.0,2.0,4.0,4.0,1.0,4.0
04N23W16C07S,13.0,30.0,46.0,46.0,29.0,11.0
04N23W16C08S,15.0,22.0,126.0,126.0,23.0,13.0
04N23W16C10S,6.0,6.0,27.0,27.0,6.0,4.0
04N23W16C11S,2.0,2.0,12.0,12.0,2.0,1.0
04N23W16F03S,5.0,15.0,25.0,25.0,14.0,19.0
04N23W16F04S,11.0,19.0,58.0,58.0,19.0,7.0
04N23W16F05S,1.0,1.0,1.0,1.0,1.0,1.0
04N23W16G03S,1.0,2.0,2.0,2.0,2.0,2.0
04N23W17L01S,1.0,1.0,,,1.0,1.0
04N23W20A01S,9.0,15.0,15.0,15.0,16.0,17.0
04N23W20J02S,1.0,1.0,4.0,4.0,1.0,5.0
04N23W20Q02S,2.0,9.0,9.0,9.0,9.0,10.0
04N23W20R01S,1.0,1.0,1.0,1.0,1.0,1.0
04N23W29C01S,2.0,2.0,3.0,3.0,3.0,3.0
04N23W29C02S,1.0,1.0,1.0,1.0,1.0,1.0
04N23W29F01S,,1.0,1.0,1.0,,1.0
04N23W29F02S,4.0,12.0,18.0,18.0,14.0,22.0
04N23W32C02S,2.0,5.0,6.0,6.0,4.0,6.0
04N23W32K01S,1.0,1.0,1.0,1.0,1.0,1.0
05N23W33B02S,6.0,9.0,31.0,31.0,9.0,9.0
05N23W33B03S,12.0,21.0,32.0,32.0,21.0,10.0
05N23W33B04S,6.0,11.0,24.0,24.0,12.0,12.0
05N23W33C01S,1.0,1.0,1.0,1.0,1.0,1.0
05N23W33G01S,3.0,3.0,4.0,4.0,3.0,11.0
Ventura_Subsurface_Intake,169.0,168.0,167.0,167.0,167.0,167.0
